*Frequency 	VM1-abs (dB)	VM1-phase (deg)
12781,3786708977	-4,40142844812749	128,634297613664
13048,9109826493	-4,07729440963125	127,427547012895
13322,043123627	-3,7561050463722	126,192688192314
13600,8923061674	-3,4380644368171	124,929525016012
13885,5781960268	-3,12338555507745	123,637930985249
14176,2229637348	-2,81228984861263	122,317857299051
14472,9513370229	-2,5050066653772	120,969341091512
14775,8906543502	-2,20177251693572	119,592513731283
15085,1709195494	-1,9028301656855	118,187609046637
15400,9248576176	-1,60842752667169	116,754971317366
15723,287971673	-1,3188163776171	115,295062853786
16052,3986011058	-1,03425087475452	113,808470964204
16388,3979809451	-0,754985876841156	112,295914096944
16731,4303024685	-0,481275085302302	110,758246932657
17081,6427750809	-0,213369014684119	109,196464198794
17439,185689488	0,0484871856755743	107,611702982122
17804,2124821921	0,30405603086505	106,005243328296
18176,8798013385	0,553110085671093	104,378506940667
18557,3475739393	0,795434394529383	102,73305382416
18945,779074505	1,03082890902281	101,070576764049
19342,3409951121	1,2591108612343	99,3928935830643
19747,2035169379	1,48011702827739	97,7019371818501
20160,5403832923	1,69370583225645	95,9997434351267
20582,5289741776	1,89975922100563	94,2884370861301
21013,3503824107	2,0981842783562	92,5702158514823
21453,1894913368	2,28891451838817	90,8473330139967
21902,2350541704	2,47191082598091	89,1220788382712
22360,6797749979	2,6471620156864	87,3967611898791
22828,7203914741	2,81468499207096	85,6736857706813
23306,5577592511	2,97452450665671	83,9551363982411
23794,3969381734	3,12675251883428	82,2433557555449
24292,4472802778	3,27146717997463	80,5405270183095
24800,9225196348	3,40879147084166	78,8487567323288
25320,0408640712	3,53887153176753	77,1700592647602
25850,0250888118	3,66187473248972	75,506343093963
26391,1026320814	3,77798753378833	73,8593991359865
26943,5056927083	3,8874131959855	72,230891235774
27507,4713297703	3,99036939000446	70,6223488812884
28083,2415643266	4,08708576519906	69,035162132369
28671,063483279	4,17780152482566	67,4705786960224
29271,1893454072	4,26276305519044	65,9297030281362
29883,8766896236	4,34222164855577	64,4134972996692
30509,3884454939	4,41643135323458	62,9227840338918
31147,9930460708	4,48564697732437	61,4582502001984
31799,9645430904	4,55012226557782	60,0204525388442
32465,5827245785	4,61010826226305	58,6098238886732
33145,1332349195	4,66585186675824	57,2266802952163
33838,9076974386	4,71759458320996	55,8712286880232
34547,2038395487	4,76557146096073	54,5435749322387
35270,3256205186	4,81001021865625	53,243732078848
36008,5833619135	4,85113054197271	51,9716286593649
36762,2938807677	4,88914354271493	50,727116892897
37531,7806255435	4,92425136555993	49,5099806955581
38317,3738149362	4,95664692787133	48,319943403359
39119,4105795853	4,98651377769442	47,1566751394596
39938,2351067506	5,01402605516505	46,0197997746304
40774,1987880175	5,03934854303417	44,9089014457337
41627,6603700937	5,06263679274055	43,82353061091
42498,9861087623	5,08403731337877	42,7632096319415
43388,5499260574	5,10368781194509	41,7274378840523
44296,7335707294	5,12171747434211	40,7156964013344
45223,9267820695	5,13824727774363	39,7274520722207
46170,5274571628	5,15339032602473	38,7621614041588
47136,9418216423	5,16725220102642	37,819273880062
48123,5846040176	5,17993132342804	36,8982349314175
49130,8792136518	5,19151931793191	35,9984885543092
50159,257922464	5,20210137831717	35,1194795952059
51209,1620504357	5,21175662868922	34,2606557333584
52281,0421549984	5,22055847793702	33,421469186149
53375,3582243876	5,22857496501751	32,6013781628692
54492,5798750422	5,23586909321452	31,7998480912678
55633,1865531368	5,24249915197884	31,0163526398845
56797,6677403314	5,24851902534713	30,2503745577453
57986,5231638289	5,25397848627029	29,5014063514825
59200,2630108285	5,25892347646153	28,7689508184178
