R1	Freq_tr(Hz)	V_tr(V)	DC_tr(V)	Freq_sq(Hz)	V_sq(V)	DC_sq(V)	Phase(deg)	rise_tr(s)	fall_tr(s)	rise_sq(s)	fall_sq(s)
133	2264.90	1.1700	4.8099	2276.00	90.0000	42.6200	85.80	0.000152	0.000176	0.000022	0.000025
132	2278.90	1.1700	4.8124	2281.00	90.0000	42.6200	86.80	0.000151	0.000170	0.000022	0.000024
131	2285.20	1.1700	4.8124	2288.50	90.0000	42.6200	84.40	0.000150	0.000173	0.000022	0.000025
130	2299.10	1.1700	4.8149	2296.90	90.0000	42.7400	83.30	0.000153	0.000173	0.000022	0.000025
129	2308.00	1.1700	4.8161	2304.10	90.0000	42.8700	86.60	0.000150	0.000177	0.000022	0.000025
128	2305.80	1.1500	4.8174	2314.80	92.0000	42.9900	84.10	0.000154	0.000171	0.000021	0.000025
127	2319.10	1.1300	4.8187	2322.60	90.0000	43.1200	86.40	0.000151	0.000173	0.000022	0.000025
126	2324.70	1.1500	4.8212	2328.20	90.0000	43.2400	85.50	0.000147	0.000167	0.000022	0.000025
125	2342.60	1.1700	4.8212	2336.40	92.0000	43.5000	85.10	0.000151	0.000169	0.000022	0.000025
124	2352.30	1.1300	4.8224	2346.10	90.0000	43.5000	83.80	0.000145	0.000167	0.000021	0.000025
123	2363.40	1.1300	4.8237	2354.50	90.0000	43.7500	85.10	0.000152	0.000165	0.000022	0.000025
122	2356.30	1.1300	4.8237	2360.30	92.0000	43.8700	85.50	0.000149	0.000166	0.000022	0.000025
121	2365.60	1.1300	4.8249	2369.20	90.0000	44.0000	85.00	0.000146	0.000165	0.000022	0.000025
120	2367.40	1.1300	4.8274	2379.60	92.0000	44.1200	85.60	0.000147	0.000168	0.000022	0.000025
119	2382.30	1.1100	4.8274	2388.20	90.0000	44.3700	84.40	0.000145	0.000165	0.000022	0.000025
118	2403.40	1.1100	4.8287	2398.80	90.0000	44.5000	84.90	0.000143	0.000163	0.000022	0.000025
117	2409.90	1.1300	4.8300	2405.70	90.0000	44.6300	84.80	0.000144	0.000161	0.000022	0.000025
116	2396.90	1.1100	4.8300	2415.00	90.0000	44.7500	85.60	0.000144	0.000165	0.000022	0.000025
115	2430.50	1.0900	4.8325	2428.60	90.0000	45.0000	85.90	0.000139	0.000160	0.000022	0.000025
114	2440.00	1.0900	4.8325	2435.70	90.0000	45.1300	86.10	0.000142	0.000165	0.000022	0.000025
113	2442.40	1.1100	4.8350	2447.60	92.0000	45.3800	85.90	0.000143	0.000156	0.000022	0.000025
112	2454.30	1.0700	4.8362	2452.40	92.0000	45.5100	83.40	0.000141	0.000156	0.000022	0.000025
111	2468.90	1.0700	4.8362	2464.00	90.0000	45.6300	85.20	0.000137	0.000157	0.000022	0.000025
110	2484.60	1.0700	4.8375	2479.20	90.0000	45.8800	86.10	0.000136	0.000156	0.000022	0.000024
109	2484.10	1.0700	4.8388	2487.10	92.0000	46.0100	86.30	0.000138	0.000155	0.000022	0.000025
108	2485.60	1.0700	4.8413	2499.00	92.0000	46.2600	86.70	0.000137	0.000156	0.000022	0.000025
107	2503.00	1.0700	4.8413	2508.00	90.0000	46.3800	86.60	0.000139	0.000156	0.000021	0.000025
106	2512.60	1.0700	4.8413	2520.20	90.0000	46.6400	83.60	0.000137	0.000157	0.000022	0.000025
105	2527.80	1.0500	4.8425	2532.90	92.0000	46.7600	83.60	0.000132	0.000144	0.000022	0.000025
104	2539.60	1.0300	4.8425	2543.80	90.0000	46.8900	86.60	0.000134	0.000152	0.000022	0.000025
103	2557.80	1.0300	4.8438	2556.20	90.0000	47.1400	85.50	0.000132	0.000154	0.000022	0.000025
102	2573.60	1.0300	4.8450	2570.40	90.0000	47.3900	85.80	0.000129	0.000149	0.000022	0.000025
101	2579.40	1.0300	4.8463	2581.00	90.0000	47.5200	87.10	0.000129	0.000149	0.000021	0.000025
100	2579.40	1.0300	4.8463	2596.60	90.0000	47.7700	85.80	0.000132	0.000148	0.000022	0.000025
99	2599.80	1.0300	4.8475	2608.50	90.0000	47.8900	83.00	0.000131	0.000147	0.000022	0.000025
98	2627.20	1.0300	4.8488	2624.40	90.0000	48.0200	84.10	0.000128	0.000148	0.000022	0.000025
97	2625.50	1.0100	4.8501	2634.40	90.0000	48.2700	82.90	0.000132	0.000146	0.000022	0.000025
96	2652.20	1.0100	4.8513	2644.40	90.0000	48.5200	85.10	0.000129	0.000148	0.000022	0.000025
95	2665.20	0.9800	4.8513	2662.40	90.0000	48.6500	85.50	0.000129	0.000149	0.000022	0.000025
94	2676.70	0.9800	4.8526	2676.10	90.0000	48.9000	84.30	0.000130	0.000149	0.000022	0.000025
93	2692.20	0.9800	4.8526	2691.60	90.0000	49.0200	86.50	0.000131	0.000146	0.000022	0.000025
92	2702.70	0.9600	4.8538	2709.70	90.0000	49.0200	85.00	0.000128	0.000144	0.000022	0.000025
91	2720.30	0.9600	4.8551	2718.00	90.0000	49.1500	83.20	0.000128	0.000146	0.000021	0.000025
90	2736.40	0.9600	4.8538	2733.40	90.0000	49.1500	84.80	0.000127	0.000144	0.000022	0.000025
89	2763.70	0.9600	4.8538	2750.90	90.0000	49.1500	86.40	0.000128	0.000142	0.000022	0.000025
88	2780.90	0.9400	4.8551	2764.90	90.0000	49.0200	84.70	0.000126	0.000139	0.000022	0.000025
87	2787.70	0.9400	4.8551	2785.80	90.0000	48.9000	82.80	0.000123	0.000141	0.000022	0.000025
86	2811.50	0.9400	4.8538	2795.80	90.0000	49.0200	86.70	0.000125	0.000139	0.000022	0.000025
85	2819.80	0.9400	4.8526	2814.00	90.0000	48.7700	86.90	0.000123	0.000135	0.000022	0.000025
84	2828.70	0.9200	4.8538	2831.30	90.0000	48.7700	83.50	0.000122	0.000135	0.000022	0.000026
83	2859.80	0.9200	4.8526	2851.30	90.0000	48.5200	82.50	0.000121	0.000136	0.000021	0.000025
82	2876.20	0.9200	4.8501	2869.60	90.0000	48.3900	86.80	0.000121	0.000136	0.000022	0.000025
81	2879.50	0.9000	4.8501	2882.20	90.0000	48.1400	83.70	0.000116	0.000134	0.000022	0.000025
80	2898.20	0.9000	4.8501	2898.90	90.0000	47.7700	86.00	0.000117	0.000134	0.000022	0.000025
79	2908.30	0.9000	4.8475	2922.60	90.0000	47.3900	86.70	0.000116	0.000133	0.000022	0.000025
78	2937.00	0.8800	4.8463	2941.90	90.0000	47.1400	87.00	0.000114	0.000128	0.000022	0.000025
77	2968.40	0.8800	4.8450	2962.80	90.0000	46.7600	83.60	0.000114	0.000127	0.000022	0.000025
76	2972.70	0.8800	4.8450	2971.20	92.0000	46.6400	83.00	0.000111	0.000129	0.000022	0.000026
75	3003.00	0.8800	4.8438	2995.00	90.0000	46.2600	83.70	0.000114	0.000129	0.000021	0.000025
74	3027.00	0.8800	4.8438	3014.00	90.0000	45.8800	87.00	0.000110	0.000127	0.000022	0.000026
73	3028.00	0.8600	4.8413	3038.00	92.0000	45.6300	85.40	0.000109	0.000122	0.000022	0.000025
72	3041.00	0.8600	4.8413	3058.00	90.0000	45.2500	87.60	0.000112	0.000125	0.000022	0.000026
71	3064.00	0.8600	4.8388	3070.00	90.0000	45.1300	86.90	0.000111	0.000122	0.000022	0.000026
70	3103.00	0.8600	4.8375	3093.00	90.0000	44.8800	81.70	0.000106	0.000125	0.000022	0.000026
69	3111.00	0.8400	4.8388	3119.00	92.0000	44.5000	84.10	0.000108	0.000122	0.000021	0.000025
68	3158.00	0.8200	4.8362	3140.00	90.0000	44.2500	87.00	0.000102	0.000122	0.000022	0.000026
67	3173.00	0.8200	4.8350	3163.00	92.0000	44.1200	86.50	0.000102	0.000121	0.000022	0.000026
66	3177.00	0.8200	4.8350	3178.00	92.0000	44.0000	87.70	0.000105	0.000116	0.000022	0.000026
65	3185.00	0.8200	4.8337	3208.00	90.0000	44.0000	86.90	0.000103	0.000118	0.000022	0.000025
64	3246.00	0.8200	4.8337	3231.00	90.0000	43.8700	83.30	0.000103	0.000117	0.000022	0.000026
63	3232.00	0.8000	4.8337	3257.00	90.0000	43.8700	83.40	0.000104	0.000116	0.000021	0.000025
62	3281.00	0.7800	4.8337	3285.00	90.0000	44.0000	86.30	0.000105	0.000118	0.000022	0.000025
61	3289.00	0.7800	4.8350	3295.00	92.0000	44.0000	86.00	0.000104	0.000115	0.000021	0.000025
