Frequency (Hz),Amplitude
230.026245381,-135.9999918079744
230.407715108,1.2335410892779718e+20
230.789184835,-135.99999180799387
231.17065456199998,-135.9999918079999
231.55212428899998,-135.99999180789519
231.933594016,-135.99999180799844
232.315063743,-135.99999180799998
232.69653347,-135.99999180799844
233.078003197,1.2335410892779718e+20
233.45947292399998,-135.99999180799387
233.84094265099998,-135.9999918079999
234.222412378,-135.9999917029962
234.603882105,-135.99999180799844
234.985351832,-135.99999180799998
235.366821559,-135.9999918079984
235.74829128599998,1.2335410892779718e+20
236.12976101299998,-135.99999180799387
236.51123074,-135.9999918079999
236.892700467,-135.99999180799364
237.274170194,-135.99999180799844
237.655639921,-135.99999180799998
238.03710964799998,-135.99999180789757
238.41857937499998,1.2335410892779718e+20
238.80004910199997,-135.99999180799387
239.181518829,-135.9999918079999
239.562988556,-135.99999180799838
239.944458283,-135.99999180799844
240.32592800999998,-135.99999180799998
240.70739773699998,-135.9999918013355
241.08886746399997,1.2335410892779718e+20
241.470337191,-135.99999180799387
241.851806918,-135.9999918079999
242.233276645,-135.99999180636843
242.61474637199998,-135.99999180799844
242.99621609899998,-135.99999180799998
243.37768582599998,-135.99999170020624
243.759155553,1.2335410892779718e+20
244.14062528,-135.99999180799387
244.522095007,-135.9999918079999
244.90356473399999,-135.9999917029962
245.28503446099998,-135.99999180799844
245.66650418799998,-135.99999180799998
246.047973915,-135.9999917811965
246.429443642,1.2335410892779718e+20
246.810913369,-135.99999180799387
247.192383096,-135.9999918079999
247.57385282299998,-135.99999180759664
247.95532254999998,-135.99999180799844
248.336792277,-135.99999180799998
248.718262004,-135.99999180799367
249.099731731,1.2335410892779718e+20
249.481201458,-135.99999180799387
249.86267118499998,-135.9999918079999
250.24414091199998,-135.9999918013645
250.625610639,-135.99999180799844
251.007080366,-135.99999180799998
251.388550093,-135.9999918075971
251.77001982,1.2335410892779718e+20
252.15148954699998,-135.99999180799387
252.53295927399998,-135.9999918079999
252.91442900099997,-135.9999918079984
253.295898728,-135.99999180799844
253.677368455,-135.99999180799998
254.058838182,-135.99999180789985
254.44030790899998,1.2335410892779718e+20
254.82177763599998,-135.99999180799387
255.20324736299997,-135.9999918079999
255.58471709,-135.99999180797465
255.966186817,-135.99999180799844
256.34765654399996,-135.99999180799998
256.729126271,-135.9999913907311
257.110595998,1.2335410892779718e+20
257.492065725,-135.99999180799387
257.873535452,-135.9999918079999
258.25500517899997,-135.99999180125536
258.636474906,-135.99999180799844
259.017944633,-135.99999180799998
259.39941436,-135.9999918078987
259.780884087,1.2335410892779718e+20
260.16235381399997,-135.99999180799387
260.543823541,-135.9999918079999
260.92529326799996,-135.99999180799364
261.306762995,-135.99999180799844
261.688232722,-135.99999180799998
262.069702449,-135.99999180759028
262.451172176,1.2335410892779718e+20
262.83264190299997,-135.99999180799387
263.21411163,-135.9999918079999
263.595581357,-135.99999180636843
263.977051084,-135.99999180799844
264.358520811,-135.99999180799998
264.739990538,-135.99999170368727
265.121460265,1.2335410892779718e+20
265.50292999199996,-135.99999180799387
265.884399719,-135.9999918079999
266.265869446,-135.9999918063957
266.647339173,-135.99999180799844
267.0288089,-135.99999180799998
267.41027862699997,-135.99999180638832
267.791748354,1.2335410892779718e+20
268.17321808099996,-135.99999180799387
268.554687808,-135.9999918079999
268.936157535,-135.99999180789916
269.317627262,-135.99999180799844
269.699096989,-135.99999180799998
270.08056671599996,-135.99999180634293
270.462036443,1.2335410892779718e+20
270.84350617,-135.99999180799387
271.224975897,-135.9999918079999
271.606445624,-135.99999180789746
271.98791535099997,-135.99999180799844
272.369385078,-135.99999180799998
272.75085480499996,-135.99999178163364
273.132324532,1.2335410892779718e+20
273.513794259,-135.99999180799387
273.895263986,-135.9999918079999
274.276733713,-135.9999918063957
274.65820343999997,-135.99999180799844
275.039673167,-135.99999180799998
275.421142894,-135.99999180636996
275.802612621,1.2335410892779718e+20
276.184082348,-135.99999180799387
276.56555207499997,-135.9999918079999
276.947021802,-135.9999917816035
277.32849152899996,-135.99999180799844
277.709961256,-135.99999180799998
278.091430983,-135.9999917819224
278.47290071,1.2335410892779718e+20
278.854370437,-135.99999180799387
279.23584016399997,-135.9999918079999
279.617309891,-135.9999918079738
279.99877961799996,-135.99999180799844
280.380249345,-135.99999180799998
280.761719072,-135.99999170018805
281.143188799,1.2335410892779718e+20
281.524658526,-135.99999180799387
281.90612825299996,-135.9999918079999
282.28759798,-135.9999917029962
282.669067707,-135.99999180799844
283.050537434,-135.99999180799998
283.432007161,-135.9999917813409
