Frequency(Hz)	Amplitude
9.498596202299999902e+01	-1.051699897599999218e+02
9.536743174999999439e+01	-1.051699897381814566e+02
9.574890147699998977e+01	-1.051699897599986855e+02
9.613037120399999935e+01	-1.051699897599999787e+02
9.651184093099999473e+01	-1.051699897599986429e+02
9.689331065799999010e+01	1.048509875360427868e+20
9.727478038499999968e+01	-1.051699897599948059e+02
9.765625011199999506e+01	-1.051699897599999218e+02
9.803771983899999043e+01	-1.051699897371919263e+02
9.841918956600000001e+01	-1.051699897599986855e+02
9.880065929299999539e+01	-1.051699897599999787e+02
9.918212901999999076e+01	-1.051699897599134204e+02
9.956359874700000034e+01	1.048509875360427868e+20
9.994506847399999572e+01	-1.051699897599948059e+02
1.003265382009999911e+02	-1.051699897599999218e+02
1.007080079280000007e+02	-1.051699897374393089e+02
1.010894776549999960e+02	-1.051699897599986855e+02
1.014709473819999914e+02	-1.051699897599999787e+02
1.018524171090000010e+02	-1.051699894072849588e+02
1.022338868359999964e+02	1.048509875360427868e+20
1.026153565629999918e+02	-1.051699897599948059e+02
1.029968262900000013e+02	-1.051699897599999218e+02
1.033782960169999967e+02	-1.051699897599787050e+02
1.037597657439999921e+02	-1.051699897599986855e+02
1.041412354710000017e+02	-1.051699897599999787e+02
1.045227051979999970e+02	-1.051699897545506843e+02
1.049041749249999924e+02	1.048509875360427868e+20
1.052856446519999878e+02	-1.051699897599948059e+02
1.056671143789999974e+02	-1.051699897599999218e+02
1.060485841059999927e+02	-1.051699897599986713e+02
1.064300538329999881e+02	-1.051699897599986855e+02
1.068115235599999977e+02	-1.051699897599999787e+02
1.071929932869999931e+02	-1.051699897599781224e+02
1.075744630139999884e+02	1.048509875360427868e+20
1.079559327409999980e+02	-1.051699897599948059e+02
1.083374024679999934e+02	-1.051699897599999218e+02
1.087188721949999888e+02	-1.051699897378103827e+02
1.091003419219999984e+02	-1.051699897599986855e+02
1.094818116489999937e+02	-1.051699897599999787e+02
1.098632813759999891e+02	-1.051699896688661795e+02
1.102447511029999987e+02	1.048509875360427868e+20
1.106262208299999941e+02	-1.051699897599948059e+02
1.110076905569999894e+02	-1.051699897599999218e+02
1.113891602839999990e+02	-1.051699897599133351e+02
1.117706300109999944e+02	-1.051699897599986855e+02
1.121520997379999898e+02	-1.051699897599999787e+02
1.125335694649999994e+02	-1.051699893993764476e+02
1.129150391919999947e+02	1.048509875360427868e+20
1.132965089189999901e+02	-1.051699897599948059e+02
1.136779786459999997e+02	-1.051699897599999218e+02
1.140594483729999951e+02	-1.051699897586208863e+02
1.144409180999999904e+02	-1.051699897599986855e+02
1.148223878270000000e+02	-1.051699897599999787e+02
1.152038575539999954e+02	-1.051699896713439131e+02
1.155853272809999908e+02	1.048509875360427868e+20
1.159667970080000003e+02	-1.051699897599948059e+02
1.163482667349999957e+02	-1.051699897599999218e+02
1.167297364619999911e+02	-1.051699897542979869e+02
1.171112061890000007e+02	-1.051699897599986855e+02
1.174926759159999961e+02	-1.051699897599999787e+02
1.178741456429999914e+02	-1.051699897599944364e+02
1.182556153700000010e+02	1.048509875360427868e+20
1.186370850969999964e+02	-1.051699897599948059e+02
1.190185548239999918e+02	-1.051699897599999218e+02
1.194000245509999871e+02	-1.051699897599986571e+02
1.197814942779999967e+02	-1.051699897599986855e+02
1.201629640049999921e+02	-1.051699897599999787e+02
1.205444337319999875e+02	-1.051699897545200031e+02
1.209259034589999970e+02	1.048509875360427868e+20
1.213073731859999924e+02	-1.051699897599948059e+02
1.216888429129999878e+02	-1.051699897599999218e+02
1.220703126399999974e+02	-1.051699897378103827e+02
1.224517823669999927e+02	-1.051699897599986855e+02
1.228332520939999881e+02	-1.051699897599999787e+02
1.232147218209999977e+02	-1.051699897375861781e+02
1.235961915479999931e+02	1.048509875360427868e+20
1.239776612749999884e+02	-1.051699897599948059e+02
1.243591310019999980e+02	-1.051699897599999218e+02
1.247406007289999934e+02	-1.051699897599118856e+02
1.251220704559999888e+02	-1.051699897599986855e+02
1.255035401829999984e+02	-1.051699897599999787e+02
1.258850099099999937e+02	-1.051699897380794937e+02
1.262664796369999891e+02	1.048509875360427868e+20
1.266479493639999987e+02	-1.051699897599948059e+02
