Frequency(Hz)	Amplitude
1.251220704559999888e+02	2.057400000000000000e+04
1.255035401829999984e+02	-2.037300000000000000e+04
1.258850099099999937e+02	8.800000000000000000e+01
1.262664796369999891e+02	1.040000000000000000e+02
1.266479493639999987e+02	1.050000000000000000e+02
1.270294190909999941e+02	2.875200000000000000e+04
1.274108888179999894e+02	2.058700000000000000e+04
1.277923585449999990e+02	-3.267300000000000000e+04
1.281738282719999802e+02	1.648500000000000000e+04
1.285552979990000040e+02	-3.266000000000000000e+04
1.289367677259999994e+02	-4.024000000000000000e+03
1.293182374529999947e+02	-2.037400000000000000e+04
1.296997071799999901e+02	1.648900000000000000e+04
1.300811769069999855e+02	1.237400000000000000e+04
1.304626466339999808e+02	-1.627800000000000000e+04
1.308441163610000046e+02	-2.038900000000000000e+04
1.312255860880000000e+02	2.877500000000000000e+04
1.316070558149999954e+02	-2.037400000000000000e+04
1.319885255419999908e+02	-2.451000000000000000e+04
1.323699952689999861e+02	2.058700000000000000e+04
1.327514649959999815e+02	-2.038000000000000000e+04
1.331329347230000053e+02	1.647900000000000000e+04
1.335144044500000007e+02	1.649100000000000000e+04
1.338958741769999961e+02	-2.040300000000000000e+04
1.342773439039999914e+02	2.058600000000000000e+04
1.346588136309999868e+02	1.239400000000000000e+04
1.350402833579999822e+02	8.275000000000000000e+03
1.354217530850000060e+02	1.080000000000000000e+02
1.358032228120000013e+02	1.648100000000000000e+04
1.361846925389999967e+02	2.467700000000000000e+04
1.365661622659999921e+02	1.080000000000000000e+02
1.369476319929999875e+02	2.055200000000000000e+04
1.373291017199999828e+02	-2.037400000000000000e+04
1.377105714470000066e+02	-3.266500000000000000e+04
1.380920411740000020e+02	-1.629400000000000000e+04
1.384735109009999974e+02	8.300000000000000000e+03
1.388549806279999927e+02	2.057100000000000000e+04
1.392364503549999881e+02	-8.090000000000000000e+03
1.396179200819999835e+02	2.468200000000000000e+04
1.399993898089999789e+02	-2.860100000000000000e+04
1.403808595360000027e+02	-8.086000000000000000e+03
1.407623292629999980e+02	9.900000000000000000e+01
1.411437989899999934e+02	-2.857400000000000000e+04
1.415252687169999888e+02	-2.856500000000000000e+04
1.419067384439999842e+02	2.055800000000000000e+04
1.422882081709999795e+02	1.060000000000000000e+02
1.426696778980000033e+02	8.296000000000000000e+03
1.430511476249999987e+02	-8.104000000000000000e+03
1.434326173519999941e+02	-1.218000000000000000e+04
1.438140870789999894e+02	-1.629000000000000000e+04
1.441955568059999848e+02	2.058300000000000000e+04
1.445770265329999802e+02	2.058800000000000000e+04
