Frequency(Hz)	Amplitude(dBV)
2.182007e+02	8.298000e+03
2.185822e+02	4.207000e+03
2.189636e+02	-1.636300e+04
2.193451e+02	-8.082000e+03
2.197266e+02	-1.627900e+04
2.201080e+02	-2.038200e+04
2.204895e+02	4.208000e+03
2.208710e+02	-3.267600e+04
2.212524e+02	-1.218100e+04
2.216339e+02	1.649300e+04
2.220154e+02	4.180000e+03
2.223969e+02	4.208000e+03
2.227783e+02	-3.994000e+03
2.231598e+02	-2.447400e+04
2.235413e+02	-2.036900e+04
2.239227e+02	-2.859200e+04
2.243042e+02	-1.627500e+04
2.246857e+02	2.058800e+04
2.250671e+02	-2.039000e+04
2.254486e+02	1.239900e+04
2.258301e+02	-1.219200e+04
2.262115e+02	4.202000e+03
2.265930e+02	2.468600e+04
2.269745e+02	-2.044100e+04
2.273560e+02	2.059000e+04
2.277374e+02	-3.993000e+03
2.281189e+02	-1.218900e+04
2.285004e+02	2.878300e+04
2.288818e+02	2.466300e+04
2.292633e+02	2.058800e+04
2.296448e+02	-3.266000e+04
2.300262e+02	8.280000e+03
2.304077e+02	-2.446500e+04
2.307892e+02	-2.038000e+04
2.311707e+02	-2.856900e+04
2.315521e+02	-1.217900e+04
2.319336e+02	2.053600e+04
2.323151e+02	-2.036900e+04
2.326965e+02	4.203000e+03
2.330780e+02	-1.219100e+04
2.334595e+02	-3.984000e+03
2.338409e+02	2.467100e+04
2.342224e+02	-8.085000e+03
2.346039e+02	-2.037000e+04
2.349854e+02	-2.859400e+04
2.353668e+02	-2.856000e+04
2.357483e+02	2.877700e+04
2.361298e+02	2.467700e+04
2.365112e+02	2.059200e+04
2.368927e+02	-1.629700e+04
2.372742e+02	-2.446700e+04
2.376556e+02	8.301000e+03
2.380371e+02	2.466400e+04
2.384186e+02	-2.036900e+04
2.388000e+02	-1.219100e+04
2.391815e+02	1.070000e+02
2.395630e+02	2.059200e+04
2.399445e+02	-2.451500e+04
2.403259e+02	8.303000e+03
2.407074e+02	-3.990000e+03
2.410889e+02	-2.447900e+04
2.414703e+02	-8.081000e+03
2.418518e+02	-4.007000e+03
2.422333e+02	-1.217900e+04
2.426147e+02	-8.082000e+03
2.429962e+02	2.056200e+04
2.433777e+02	1.130000e+02
2.437592e+02	2.058400e+04
2.441406e+02	-3.994000e+03
2.445221e+02	1.649600e+04
2.449036e+02	-3.269100e+04
2.452850e+02	1.649500e+04
2.456665e+02	2.468500e+04
2.460480e+02	8.285000e+03
2.464294e+02	-2.036800e+04
2.468109e+02	2.467300e+04
2.471924e+02	8.300000e+03
2.475739e+02	-3.985000e+03
2.479553e+02	4.165000e+03
2.483368e+02	2.878500e+04
2.487183e+02	-2.037300e+04
2.490997e+02	1.238800e+04
2.494812e+02	-2.855900e+04
2.498627e+02	-1.219700e+04
2.502441e+02	1.100000e+02
2.506256e+02	-8.082000e+03
2.510071e+02	-3.267900e+04
2.513886e+02	2.469000e+04
2.517700e+02	1.239300e+04
2.521515e+02	-2.447200e+04
2.525330e+02	2.878500e+04
2.529144e+02	2.056300e+04
2.532959e+02	1.649500e+04
2.536774e+02	-3.988000e+03
2.540588e+02	-3.267300e+04
2.544403e+02	-2.036700e+04
2.548218e+02	-2.447800e+04
2.552032e+02	1.239600e+04
2.555847e+02	4.208000e+03
2.559662e+02	-8.120000e+03
2.563477e+02	-1.627200e+04
